Molecule 1                    ,Molecule 2                    ,Cosine Similarity             ,Molecule 2 unique?            
Fluoxetine_1.gjf              ,Fluoxetine_2.gjf              ,99.73517                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_3.gjf              ,99.52534                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_4.gjf              ,99.38288                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_5.gjf              ,99.44503                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_6.gjf              ,98.54976                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_7.gjf              ,98.79652                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_8.gjf              ,98.83757                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_9.gjf              ,97.54712                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_10.gjf             ,97.57326                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_11.gjf             ,97.59953                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_12.gjf             ,97.55136                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_13.gjf             ,97.5623                       ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_14.gjf             ,97.50197                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_15.gjf             ,97.66228                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_16.gjf             ,98.18448                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_17.gjf             ,98.13517                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_18.gjf             ,97.16806                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_20.gjf             ,97.24282                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_19.gjf             ,97.24635                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_21.gjf             ,97.28712                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_22.gjf             ,97.05412                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_23.gjf             ,97.36722                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_24.gjf             ,98.66656                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_25.gjf             ,98.63101                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_26.gjf             ,98.70251                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_27.gjf             ,97.59276                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_28.gjf             ,97.62859                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_29.gjf             ,97.64893                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_30.gjf             ,98.55886                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_31.gjf             ,98.55369                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_33.gjf             ,99.32104                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_32.gjf             ,99.41764                      ,No                            
